"school","series","rank","salary"
"Amherst","cola_adjusted","all_fac_2020",125628.26406
"Amherst","cola_adjusted","assist_2020",85859.1904323827
"Amherst","cola_adjusted","assoc_2020",101330.48277
"Amherst","cola_adjusted","full_2020",142275.13641
"Amherst","real","all_fac_2020",115573.38
"Amherst","real","assist_2020",93328.94
"Amherst","real","assoc_2020",110986.29
"Amherst","real","full_2020",155832.57
"Bates","cola_adjusted","all_fac_2020",115652.45401
"Bates","cola_adjusted","assist_2020",85861.9
"Bates","cola_adjusted","assoc_2020",119842.08327
"Bates","cola_adjusted","full_2020",153180.84107
"Bates","real","all_fac_2020",101538.59
"Bates","real","assist_2020",85861.9
"Bates","real","assoc_2020",105216.93
"Bates","real","full_2020",134487.13
"Bowdoin","cola_adjusted","all_fac_2020",107266.12416
"Bowdoin","cola_adjusted","assist_2020",85505.66856
"Bowdoin","cola_adjusted","assoc_2020",106404.65784
"Bowdoin","cola_adjusted","full_2020",137458.09584
"Bowdoin","real","all_fac_2020",114600.56
"Bowdoin","real","assist_2020",91352.21
"Bowdoin","real","assoc_2020",113680.19
"Bowdoin","real","full_2020",146856.94
"Carleton","cola_adjusted","all_fac_2020",114797.2176
"Carleton","cola_adjusted","assist_2020",86389.28336
"Carleton","cola_adjusted","assoc_2020",104637.204
"Carleton","cola_adjusted","full_2020",137914.0704
"Carleton","real","all_fac_2020",117620.1
"Carleton","real","assist_2020",88513.61
"Carleton","real","assoc_2020",107210.25
"Carleton","real","full_2020",141305.4
"Claremont McKenna","cola_adjusted","all_fac_2020",47396.8376
"Claremont McKenna","cola_adjusted","assist_2020",37273.72425
"Claremont McKenna","cola_adjusted","assoc_2020",43918.27223
"Claremont McKenna","cola_adjusted","full_2020",60401.56598
"Claremont McKenna","real","all_fac_2020",138183.2
"Claremont McKenna","real","assist_2020",108669.75
"Claremont McKenna","real","assoc_2020",128041.61
"Claremont McKenna","real","full_2020",176097.86
"Colby","cola_adjusted","all_fac_2020",135057.04542
"Colby","cola_adjusted","assist_2020",106845.75857
"Colby","cola_adjusted","assoc_2020",128385.65459
"Colby","cola_adjusted","full_2020",177062.62892
"Colby","real","all_fac_2020",111341.34
