"year","all","full","assoc","assist"
1999,95737.4403,118499.1453,84106.4421,68567.8884
2000,98314.236,120336.192,86407.47,68847.921
2001,96441.5043,122184.9647,87548.5215,71244.7197
2002,98782.2528,124735.3272,91073.1624,71824.896
2003,101582.4007,127045.8838,94992.4811,77614.4523
2004,113327.8718,135908.7678,105092.9698,84679.7302
2005,113029.5358,136785.5383,102905.5691,80994.3842
2006,113745.9638,137334.505,102225.1426,76297.5178
2007,118542.8022,139887.0222,106370.3558,83860.317
2008,113222.1927,134946.5439,102143.6391,75018.2526
2009,114616.4448,135710.3488,98883.7824,71979.856
2010,112913.3577,132801.0541,97786.3172,72093.4929
2011,112873.86,133124.42,99181.72,77205.26
2012,112617.27,135365.0567,100768.2197,78223.347
2013,117099.4,138430.6,102212,81658.5
2014,116644.44,140476.2,103744.68,80131.56
2015,118718.964,140171.304,106356.432,82091.1
2016,114707.3974,139827.4742,108464.0404,78909.994
2017,113941.1131,137673.5215,104273.2927,79024.6119
2018,110116.8959,137488.1651,101035.3982,75825.5069
2019,105279.2,137672.8,102242.3,84020.9
2020,102411.45,134729.29,98242.92,79876.9
