"year","all","full","assoc","assist","tuition_fees","2020_1_eqv","inf_adj"
1999,95737.4403,118499.1453,84106.4421,68567.8884,22228,1.55348739495019,34530.9178149528
2000,98314.236,120336.192,86407.47,68847.921,23094,1.50296748108053,34709.5310080737
2001,96441.5043,122184.9647,87548.5215,71244.7197,23995,1.46220904104102,35085.7059397794
2002,98782.2528,124735.3272,91073.1624,71824.896,24930,1.4386381338804,35865.2486776384
2003,101582.4007,127045.8838,94992.4811,77614.4523,25902.27,1.40658152214684,36433.6543636586
2004,113327.8718,135908.7678,105092.9698,84679.7302,27171.48123,1.37009529021181,37227.5184613016
2005,113029.5358,136785.5383,102905.5691,80994.3842,28667,1.32519713213526,37989.4261869214
2006,113745.9638,137334.505,102225.1426,76297.5178,30194,1.28378472306394,38762.5959281926
2007,118542.8022,139887.0222,106370.3558,83860.317,31794,1.24823238841711,39686.3005573335
2008,113222.1927,134946.5439,102143.6391,75018.2526,33479,1.20207800184276,40244.3694236937
2009,114616.4448,135710.3488,98883.7824,71979.856,35124,1.20636999788033,42372.5398055487
2010,112913.3577,132801.0541,97786.3172,72093.4929,36683,1.18690152870111,43539.1087773427
2011,112873.86,133124.42,99181.72,77205.26,38886,1.15058304700872,44741.5723659809
2012,112617.27,135365.0567,100768.2197,78223.347,40809,1.1272550675774,46002.1520527662
2013,117099.4,138430.6,102212,81658.5,42849,1.11098185426021,47604.4614731956
2014,116644.44,140476.2,103744.68,80131.56,45377,1.09324733090276,49608.2841343744
2015,118718.964,140171.304,106356.432,82091.1,46966,1.09195121068754,51284.5805611509
2016,114707.3974,139827.4742,108464.0404,78909.994,48376,1.07834771412658,52166.1490185873
2017,113941.1131,137673.5215,104273.2927,79024.6119,49949,1.05585427493247,52738.8651786019
2018,110116.8959,137488.1651,101035.3982,75825.5069,51447,1.03068014844531,53025.401597066
2019,105279.2,137672.8,102242.3,84020.9,52524,1.01233684217658,53171.9802984827
2020,102411.45,134729.29,98242.92,79876.9,55000,1,55000
